author_display,decade,message_count
Dr. Holdrege c/o John Nemec,1990s,1
Dr. Ittzés Máté,2020s,4
Dr. Jai Maharaj,1990s,43
Dr. Jai Maharaj,2000s,2
Dr. Julia Leslie,1990s,2
Dr. Jörg Gengnagel,2000s,1
Dr. M.F. Tritsch,1990s,5
Dr. Nupam Mahajan,1990s,6
Dr. Nupam Mahajan,2000s,1
Dr. P. Vinod Bhattathiripad,2010s,1
Dr. Pravesh Vyas,2020s,1
Dr. Reinhard Grünendahl,2000s,1
Dr. Rupali Mokashi,2010s,56
Dr. Rupali Mokashi,2020s,12
Dr. S. Kalyanaraman,1990s,17
Dr. S.Kalyanaraman,1990s,9
Dr. Sweta Prajapati,2010s,14
Dr. Sweta Prajapati,2020s,6
Dr. T. Ganesan,2010s,22
Dr. T. Ganesan,2020s,1
Dr. Volker Thewalt,1990s,4
Dr. Will Tuladhar-Douglas,2010s,9
Dr.RM.Krishnan,1990s,3
Dr.S.Kalyanaraman,1990s,28
Dragomir Dimitrov,2000s,3
Dragomir Dimitrov,2010s,16
Dragomir Dimitrov,2020s,8
Duane Wenzel,1990s,2
Durga,1990s,2
Dwight Holmes,1990s,4
Dániel Balogh,2010s,7
Dániel Balogh,2020s,35
E. Bashir,1990s,8
E. Bashir,2000s,1
E50488 at EARN.JPNKUDPC,1990s,4
EDC,2000s,1
EJVS - IJTS,1990s,1
ELAINE FISHER,2010s,3
ERNEST ALLAN ROCKWELL,2000s,2
Eddy Moerloose,1990s,1
Edeltraud Harzer,2010s,10
Edeltraud Harzer,2020s,10
Edeltraud Harzer Clear,1990s,16
Edgard Leite,1990s,3
Edward Beach,1990s,2
Edward Crangle,1990s,3
Edward Proctor,2010s,1
Edwin Bryant,1990s,61
Edwin Bryant,2000s,8
Edwin F Bryant,1990s,23
Edwin F. Bryant,2000s,3
Elaine Fisher,2020s,1
Elaine Marie Fisher,2010s,2
Elena Bashir,2000s,2
Elena Bashir,2010s,3
Elena Mucciarelli,2010s,10
Elena Mucciarelli,2020s,1
Elena Mucciarelli Tuebingen,2010s,1
Elena V. Slinko,1990s,1
Eli Franco,2000s,7
Eli Franco,2010s,50
Eli Franco,2020s,41
Elisa Freschi,2010s,12
Elisa Freschi,2020s,5
Elisa Ganser,2010s,2
Elisa Ganser,2020s,6
Elisabeth Raddock,2010s,1
Elisabeth Shyjka,1990s,2
Elisabeth Steinbrückner,2010s,1
Elise Coquereau-Saouma,2020s,2
Elizabeth De Michelis,2000s,26
Elizabeth De Michelis,2010s,30
Elizabeth De Michelis,2020s,14
Elizabeth M. Rohlman,2010s,4
Elizabeth Sandeman-Gay,1990s,1
Ellen Alexis Ambrosone,2010s,1
Ellen Ambrosone,2020s,1
Ellen F. Prince,1990s,1
Ellen M. Raven,1990s,5
Elliot M. Stern,1990s,1
Elliot M. Stern,2000s,19
Elliot M. Stern,2010s,16
Elliot Stern,1990s,37
Elliot Stern,2000s,1
Elliot Stern,2010s,118
Elliot Stern,2020s,95
"Eltschinger, Vincent",2010s,14
"Eltschinger, Vincent",2020s,18
Emil HERSAK,1990s,3
Emil HERŠAK,1990s,2
Emil Hersak,1990s,2
Emiliano Bianchi,1990s,1
Emiliano Bianchi,2000s,1
Emilie Aussant,2020s,1
Emilio Ghezzi,2000s,3
Emmanuel Francis,2010s,4
Enrica Garzilli,1990s,119
Enrica Garzilli,2000s,56
Enrica Garzilli,2010s,12
Eric Geer,1990s,2
Eric Gurevitch,2010s,9
Eric Gurevitch,2020s,15
Eric Huberman,1990s,1
Eric Moses Gurevitch,2020s,9
Eric Steinschneider,2020s,4
Erik Hoogcarspel,1990s,47
Erik Hoogcarspel,2000s,13
Erik Reenberg Sand,1990s,5
Erik Reenberg Sand,2000s,8
Erik Reenberg Sand,2010s,11
Erik Sand,1990s,1
Erik Sand,2000s,2
Erik Sand,2010s,5
Erik Seldeslachts,1990s,29
Ermel Stepp,1990s,1
Ernest Allan Rockwell,2000s,1
Ernest Allan Rockwell Ernest Allan Rockwell Ernest Allan Rockwell Ernest Allan Rockwell Ernest Allan Rockwell Ernest Allan Rockwell WISC.EDU,2000s,1
Ernst Steinkellner,2000s,8
Ernst.Prets at oeaw.ac.at,1990s,5
Esther Bloch,2000s,1
Eugen Ciurtin,2000s,3
Eugen Ciurtin,2010s,23
Eva De Clercq,2000s,5
Eva De Clercq,2010s,3
Evgeniya Desnitskaya,2020s,34
Eviatar Shulman,2010s,3
Eviatar Shulman,2020s,4
Ewa Dębicka-Borek,2020s,5
Eystein Dahl,2020s,1
F. Javier Martinez Garcia,1990s,1
F. Smith,1990s,27
F.J. Martinez Garcia,1990s,6
F5JTL...WX3W,1990s,1
FALK at DE.UNI-FREIBURG.RUF.IBM,1990s,1
FO90030,1990s,6
FRITS STAAL,2000s,12
FRITS STAAL,2010s,8
Fabian Sanders,2000s,1
Fabrice Duvinage,2010s,5
Fabrice Duvinage,2020s,1
Fabrizio Ferrari,2010s,17
Fabrizio Ferrari,2020s,3
Fabrizio Speziale,2010s,5
Fabrizio Speziale,2020s,13
Falk,1990s,1
Fco. Javier Mart177nez Garc177a,1990s,20
Fco. Javier Martinez Garcia,1990s,1
Federico Squarcini,2000s,5
Ferenc Ruzsa,1990s,41
Ferenc Ruzsa,2000s,26
Fernando,1990s,2
Fernando Wulff,2020s,1
Ferrini,1990s,1
Finn Moore Gerety,2020s,9
Finnian M.M. Gerety,2010s,1
Finnian M.M. Gerety,2020s,2
Finnian Moore Gerety,2010s,4
Finnian Moore-Gerety,2020s,17
"Fitzgerald, James",2000s,4
"Fitzgerald, James",2010s,11
"Fitzgerald, James",2020s,10
Flavio Omar Mineiro,1990s,1
Florinda De Simini,2010s,2
Florinda De Simini,2020s,5
Flügel,2000s,3
"Fort, Andrew",1990s,1
"Fort, Andrew",2000s,4
Frances Garrett,1990s,1
Frances Pritchett,1990s,33
Frances Pritchett,2000s,12
Frances Pritchett,2010s,4
Francesco Paolo Villani,2000s,3
Francesco Sferra,2000s,1
Francesco Sferra,2010s,2
Francis,1990s,1
Francis Parmar,2000s,1
"Francis Parmar, S. J.",2000s,3
Francisco Caravana,2000s,3
Francisco Javier Martinez Garcia,1990s,2
Franco,2010s,12
Franco,2020s,13
Francois Obrist,1990s,12
Francois Obrist,2000s,15
Francois Patte,1990s,3
Francois Quiviger,1990s,33
Francois VOEGELI,1990s,2
Francois Voegeli,1990s,1
Francois Voegeli,2010s,31
Francois.Patte,1990s,1
Francois.Voegeli at orient.unil.ch,1990s,13
Frank Conlon,1990s,76
Frank Conlon,2000s,20
Frank Conlon,2010s,13
Frank F Conlon,2000s,2
Frank F Conlon,2010s,1
Frank F Conlon,2020s,2
Frank F. Conlon,2020s,2
Frank J. Korom,1990s,2
Frank Koehler,2010s,2
Frank Koehler,2020s,3
Frank Snow,1990s,4
Frank Van Den Bossche,1990s,6
Frank Van Den Bossche,2000s,1
François Obrist,2000s,3
François Patte,2000s,1
François Patte,2010s,13
François Patte,2020s,19
François Voegeli,2010s,4
François Voegeli,2020s,19
Fred Smith,2000s,4
Frederick M Asher,1990s,11
Frederick M Asher-1,1990s,2
Frederick M. Smith,1990s,3
Frederick Smith,2000s,1
Fredrik Arnell,1990s,1
Frits STAAL,2010s,1
Frits Staal,2000s,37
Fritz Blackwell,1990s,2
Fujita Yoshimichi,1990s,1
Fumi Yao,2010s,2
G. Colas,2000s,1
G. Colas,2010s,2
G. Ramkumar,1990s,1
G.J. Meulenbeld,2000s,8
G.J. Meulenbeld,2010s,2
GAIL COELHO,1990s,3
GAIL at utxvms.cc.utexas.edu,1990s,2
GANERI at VAX.LSE.AC.UK,1990s,1
GANESANS at cl.uh.edu,1990s,60
GAURI WAGENAAR_PARIKH,1990s,1
GAUTAMA V VAJRACHARYA,2010s,1
"GHOSE,LYNKEN,MR",1990s,8
"GHOSE,LYNKEN,MR",2000s,4
GOPAL IYER,1990s,1
GRUENENDAHL,1990s,26
GRUENENDAHL,2000s,5
Gabriel,1990s,4
Gabriel,2000s,3
Gabriel Martino,2010s,2
Gabriel Martino,2020s,2
Gabriela Nik. Ilieva,2000s,1
Gabriele Zeller,1990s,21
Gabriele Zeller,2000s,3
Gadi Vivier,2020s,1
Gadomski,1990s,1
Gaia Pintucci,2010s,20
Gaia Pintucci,2020s,21
Gail Coelho,1990s,6
Gail M. Coelho,1990s,4
Ganapathi .,2000s,1
Ganesan,2000s,13
Ganesan,2010s,3
Ganesan T,2010s,2
Ganesan T,2020s,2
Gary A. Tubb,2010s,1
Gary A. Tubb,2020s,2
Gary Alan Tubb,1990s,2
Gary J Hausman,1990s,8
Gary M Tartakov,1990s,18
Gary Tubb,1990s,10
Gary Tubb,2000s,14
Gary Tubb,2010s,29
Gast Itb,2000s,1
Gateway Multimedia India Ltd.,1990s,1
Gauri Wagenaar,1990s,1
Gautama Vajra Vajracharya,1990s,2
Gautama Vajra Vajracharya,2010s,1
Gautama Vajracharya,1990s,4
Gautama Vajracharya,2000s,4
Gautama Vajracharya,2010s,3
Gavin Flood,2020s,1
Ge Ge,2020s,1
Geeta Bharathan,1990s,14
Geeta Bharathan,2000s,10
Gene R. Thursby,1990s,1
Gene Thursby,1990s,33
Geoffrey Samuel,1990s,5
Geoffrey Samuel,2000s,9
Geoffrey Samuel,2010s,19
Geoffrey Samuel,2020s,10
Georg von Simson,1990s,76
Georg von Simson,2000s,34
George Baumann,2000s,7
George Cardona,1990s,3
George Cardona,2000s,26
George Cardona,2010s,20
George Cronk,1990s,24
George Cronk,2000s,1
George Fowler,1990s,1
George Hart,2000s,110
George Hart,2010s,94
George Hart,2020s,9
George L Hart,2020s,2
George L. HART,2010s,3
George L. HART,2020s,6
George Pervushin,2020s,4
George Thompson,1990s,113
George Thompson,2000s,147
George Thompson,2010s,185
George Thompson,2020s,1
Georges PINAULT,2010s,19
Gerard Fussman,2010s,5
Gerard Huet,1990s,21
Gerard Huet,2000s,1
Gergana Ruseva,2020s,1
Gerhard Ehlers,1990s,1
Gerhard Ehlers,2000s,1
Ghanshyam Sharma,1990s,4
Ghanshyam Sharma,2020s,2
Giles Hooper,2010s,6
Gillian Evison,1990s,1
Giovanni Ciotti,2020s,6
Giridhar R Akkaraju,1990s,1
Girish,1990s,1
Girish Beeharry,1990s,60
Girish Bhaskaruni,2000s,4
Girish Jha,1990s,1
Girish Jha,2010s,7
Girish Jha,2020s,49
Girish K Beeharry,1990s,1
Girish Kumar Beeharry,1990s,4
Girish Sharma,1990s,9
"Gitomer, David",2020s,1
Giulia Buriola Meneghin,2020s,1
Giulio Geymonat,2020s,2
Gleb Sharygin,2010s,9
Gleb Sharygin,2020s,26
Glen M Cooper,1990s,1
"Gomez, Kashi",2020s,1
"Goulding, Gregory",2010s,1
Govind Rengarajan,1990s,1
Gowtham R,2020s,4
Graefe,1990s,2
Graefe,2000s,6
Greg Bailey,2000s,8
Greg Bailey,2010s,28
Greg Bailey,2020s,33
Greg Eichler,1990s,5
Greg Heil,1990s,1
Greg Jay,1990s,4
Greg Jay,2000s,3
Gregory Bailey,2000s,9
Gregory Bailey,2010s,6
Gregory {Greg} Downing,1990s,8
"Griffin, William",1990s,1
"Gruenendahl, Reinhold",2000s,63
"Gruenendahl, Reinhold",2010s,152
"Gruenendahl, Reinhold",2020s,3
Guillaume JACQUES,2000s,1
Gunthard Mueller,2000s,35
Guruprasad Pattar,2000s,1
Gustaaf Houtman,1990s,2
Guy Baudoux,1990s,1
Guy Werlings,1990s,1
Gérard Huet,2000s,15
Gérard Huet,2010s,17
H. Isaacson,1990s,9
H. Mark Hubey,1990s,5
H.B.Dave,2000s,20
H.M.Hubey,1990s,47
H.T. Bakker,2000s,2
H.T.Bakker,2010s,1
HEDRICK,1990s,1
HEIJSTEE at rullet.LeidenUniv.nl,1990s,4
HFArnold at aol.com,1990s,10
HP at soas.ac.uk,1990s,3
HR,2010s,11
"HYODO, Kazuo",2000s,1
Haiquan Zhao,1990s,1
Halina Marlewicz,1990s,4
Hamsa Stainton,2010s,1
Hamsa Stainton,2020s,3
Hannes A. Fellner,2020s,3
Hans Bakker,2000s,1
Hans Henrich Hock,1990s,16
Hans Henrich Hock,2000s,25
Hans Henrich Hock,2010s,5
Hans T Bakker,2000s,1
Hans-Werner Hatting,2000s,1
Hanuman7 at aol.com,1990s,1
Harald Wiese,2010s,9
Harald Wiese,2020s,5
Haridas C,1990s,1
Haridas C,2000s,25
Harihar Bhattarai,1990s,2
Harish B,2000s,1
Harish Kumar,1990s,1
Harold F. Arnold,1990s,8
HaroldA at eworld.com,1990s,9
"Harper, Katherine",1990s,2
Harry Falk,1990s,23
Harry Falk,2000s,16
Harry Falk,2010s,12
Harry Falk,2020s,6
Harry Spier,1990s,48
Harry Spier,2000s,66
Harry Spier,2010s,348
Harry Spier,2020s,578
Harsha Dehejia,2000s,32
Harsha Dehejia,2010s,63
Harsha Dehejia,2020s,22
Harsha G Marti,1990s,1
Harsha V. Dehejia,1990s,17
Harsha V. Dehejia,2000s,15
Harshavardhan Vedak,1990s,4
Hartmut Buescher,2000s,18
Hartmut Buescher,2010s,18
Hartmut Buescher,2020s,11
Harunaga Isaacson,2000s,40
Harunaga Isaacson,2010s,1
Harunaga Isaacson,2020s,1
"HarzerClear, Edeltraud",2010s,2
HdGoswami,2010s,9
Heather MacDonald,1990s,1
Heidi Pauwels,1990s,3
Heike Boedeker,2000s,4
Heike Boudalfa,1990s,5
Heike Boudalfa,2000s,1
Heike Moser,2000s,6
Heike Moser,2010s,6
Heike Oberlin,2010s,13
Heike Oberlin,2020s,21
Heinz Werner Wessler,1990s,6
Heinz Werner Wessler,2000s,3
Heinz Werner Wessler,2010s,1
Heinz Werner Wessler,2020s,3
Heleen De Jonckheere,2010s,1
Heleen De Jonckheere,2020s,7
Helen Oles Giunta,1990s,3
Helen Oles Giunta,2000s,5
Helmut Nespital,1990s,1
Hemananda.B.P,2000s,3
Hemant Rajopadhye,2020s,1
Henry Groover,1990s,8
Herman Tull,2000s,35
Herman Tull,2010s,102
Herman Tull,2020s,14
Hershini Soneji,2020s,2
Hertaldis M G Offermann,1990s,2
Hilda McClanahan,2000s,1
"Hillary Rodrigues, Ext. 2735",1990s,1
Himal Trikha,2000s,12
Himal Trikha,2010s,7
Himal Trikha,2020s,1
Himanshu,2020s,11
Himanshu Dave,2000s,9
Hindustan,1990s,1
Hindustan Search,1990s,1
"Hock, Hans Henrich",2010s,101
"Hock, Hans Henrich",2020s,106
"Hoose, Anahita",2020s,1
Horacio Francisco Arganis Juarez,2000s,56
Horacio Francisco Arganis Juarez,2010s,33
Horst Lasic,1990s,6
Horst Lasic,2000s,2
"Houben, J.E.M.",2000s,3
Howard Gontovnick,1990s,1
Howard Resnick,1990s,5
Howard Resnick,2010s,156
Howard Resnick,2020s,107
Hrid,1990s,3
Hrid at aol.com,1990s,27
Hueckstedt,1990s,17
"Hueckstedt, Robert A (rah2k)",2010s,1
"Hueckstedt, Robert A (rah2k)",2020s,4
"Hueckstedt, Robert A. (rah2k)",2010s,2
"Huesken, Prof. Dr. Ute",2010s,1
"Huesken, Prof. Dr. Ute",2020s,15
Hyoung Seok Ham,2010s,1
Hélène de Brux,2020s,2
I. Julia Leslie,1990s,5
I.Dawes at latrobe.edu.au,1990s,1
IAOmar,1990s,2
IJL at UK.AC.OXFORD.VAX,1990s,1
INDIAN BOOKS CENTRE,1990s,9
INDINST at UK.AC.OXFORD.VAX,1990s,2
INDINST at vax.oxford.ac.uk,1990s,1
Ian Goddard,2000s,1
Ilona V. Manevskaya,1990s,1
Ilya Comet,2020s,1
Indica et Buddhica - Email Updates,2010s,1
Indologie Tübingen,1990s,1
"Indologie, Seminar fuer",2000s,4
"Indologie, Seminar fuer",2010s,1
Ingo Strauch,2000s,1
Ingo Strauch,2010s,10
Ingo Strauch,2020s,6
Inst. Of Asian Cultures,1990s,7
Institute of Social and Cultural Anthropology,1990s,2
Ionut Moise,2010s,3
Ira Sarma,1990s,1
Irene Joshi,1990s,3
IreneMaradei,1990s,3
IreneMaradei,2000s,4
Irving Hexham,1990s,2
Isabella Nardi,2010s,2
Isabella Nardi,2020s,2
Isabelle Onians,1990s,1
Isabelle Ratie,2010s,12
Isabelle Ratie,2020s,9
Ishaan Sharma,2020s,1
Itamar Ramot,2010s,1
Itamar Ramot,2020s,3
Ithamar Theodor,2000s,13
Ithamar Theodor,2010s,3
Ivan Andrijanic,2020s,2
Ivan Andrijanić,2010s,1
Ivan Andrijanić,2020s,1
Iwona Milewska,1990s,3
J Ganeri,1990s,2
J Kingston Cowart,1990s,4
J L Brockington,2000s,9
J L Brockington,2010s,7
J M,2020s,4
J. Daniel White,1990s,11
J. Daniel White,2000s,7
J. Kingston Cowart,1990s,13
J. Kingston Cowart,2000s,6
J. L. Brockington,2000s,3
J. Neelis,1990s,6
J. Neelis,2000s,1
J. Patrick Olivelle,2000s,1
J. Randall Groves,1990s,7
J. Shaw,1990s,3
J.B. Sharma,1990s,36
J.B. Sharma,2000s,1
J.K. Brzezinski,1990s,10
J.M. Fritzman,2020s,10
J.Napier,1990s,12
J.S.Pitanga,1990s,7
JAEKWAN SHIM,1990s,1
JAEKWAN SHIM,2000s,9
JAGANADH GOPINADHAN,2000s,16
JAMAL JONES,2020s,1
JAMES RYAN,2020s,7
JAMSHID,2000s,1
JAYABARATHI,1990s,21
JBRONKHO at CH.UNIL.ULYS,1990s,7
JBRONKHO at ul9000.unil.ch,1990s,1
JHOOLE at HMCVAX.CLAREMONT.EDU,1990s,1
JHOUBEN at rullet.LeidenUniv.nl,1990s,16
JHUBBARD at EARN.SMITH,1990s,1
JHUBBARD at smith.smith.edu,1990s,8
JKirkpatrick,2000s,7
JKirkpatrick,2010s,24
JM,1990s,2
JN,2000s,14
JOE WILSON,1990s,1
JOHN HUNTINGTON,2000s,3
JR,2020s,1
JR Gardner,1990s,68
JSHARMA,1990s,5
JULIA LESLIE,1990s,2
Jaap Pranger,1990s,12
Jaap Pranger,2000s,6
Jacob Baltuch,1990s,119
Jacob Schmidt-Madsen,2010s,4
Jacqueline Suthren Hirst,1990s,2
Jadranka Schauer,1990s,7
Jadranka Schauer,2000s,3
Jae-sung Kim (Jung Won),1990s,4
Jaekwan Shim,2000s,1
Jahnabi,2010s,2
Jahnabi Barooah Chanchani,2020s,1
Jai Simman s/o R. Rangasamy,2000s,2
Jakob Winkler,2000s,1
Jakub Cejka,1990s,13
Jakub Cejka Visitor-Sanskrit,1990s,14
Jambugahapitiya Dhammaloka,2010s,1
James,2010s,1
James E. Agenbroad,1990s,15
James E. Agenbroad,2000s,7
James Egge,1990s,2
James Hartzell,2000s,13
James Hartzell,2010s,106
James Hartzell,2020s,30
James Hegarty,2010s,46
James Hegarty,2020s,20
James L. Fitzgerald,1990s,15
James L. Fitzgerald,2000s,12
James Madaio,2010s,3
James Mallinson,1990s,3
James Mallinson,2000s,7
James Mallinson,2010s,20
James Mallinson,2020s,7
James McDermott,1990s,5
James McHugh,2000s,1
James McHugh,2010s,3
James Nye,1990s,6
James Nye,2000s,3
James P McDermott,1990s,1
James Stewart,2010s,4
Jamie,1990s,1
Jamie HUBBARD,1990s,4
Jamie Hubbard,1990s,3
Jan,1990s,1
Jan Brzezinski,1990s,39
Jan Brzezinski,2000s,12
Jan Dvorak,1990s,1
Jan Dvorak,2000s,1
Jan E.M. Houben,1990s,62
Jan E.M. Houben,2000s,135
Jan E.M. Houben,2010s,197
Jan E.M. Houben,2020s,165
Jan Filipsky,1990s,23
Jan Filipsky,2000s,4
Jan Filipsky,2010s,1
Jan Filipský,2000s,3
Jan Filipský,2010s,11
Jan Filipský,2020s,9
Jan Houben,2000s,18
Jan K. Brzezinski,1990s,1
Jan Kucera,2020s,1
Jan Kučera,2020s,45
Jan Nattier,2000s,4
Jan Seifert,1990s,1
Jan Vikalp,2010s,1
Jan Westerhoff,2010s,13
Jan Westerhoff,2020s,7
Jan.Dvorak at ff.cuni.cz,1990s,17
Janet Freeman,2000s,1
Janet Glausch,2000s,4
Janma Carmody,1990s,4
Jaob Schmidt-Madsen,2010s,9
Jaroslav Strnad,1990s,10
Jarosław Zapart,2010s,4
Jarosław Zapart,2020s,1
Jarrod L Whitaker,2000s,2
Jarrod L Whitaker,2010s,3
Jarrod L. Whitaker,2000s,1
Jarrod Whitaker,2010s,20
Jarrod Whitaker,2020s,2
Jason Birch,2010s,8
Jason Birch,2020s,6
Jason Neelis,2000s,1
Jason Neelis,2010s,7
Javier Martinez,1990s,1
Javier Martinez Garcia,1990s,5
Jay Soni,2020s,6
Jay Thakar,1990s,12
Jayandra Soni,2010s,8
Jayant Bapat,1990s,3
Jayant Bapat,2000s,3
Jean Arzoumanov,2020s,3
Jean FEZAS,2000s,3
Jean Fezas,1990s,22
Jean Fezas,2000s,7
Jean Michel DELIRE,2020s,56
Jean Nielson,2000s,2
Jean-Claude Svadchii,1990s,2
Jean-Luc CHEVILLARD,1990s,41
Jean-Luc CHEVILLARD,2000s,3
Jean-Luc CHEVILLARD,2010s,21
Jean-Luc Chevillard,1990s,11
Jean-Luc Chevillard,2000s,60
Jean-Luc Chevillard,2010s,96
Jean-Luc Chevillard,2020s,48
Jean-Luc.Chevillard at linguist.jussieu.fr,1990s,6
Jean-Michel Delire,2000s,8
Jean-Michel Delire,2010s,22
Jeffery Long,2010s,26
Jeffery Long,2020s,40
Jeffrey Lidke,2000s,3
"Jenkins, Marguerite Farrell",2020s,1
Jenni Cover,2000s,19
Jennifer Cover,2000s,2
Jennifer Cover,2010s,5
Jens Thomas,2020s,8
Jens-Uwe Hartmann,2010s,4
Jeroen Hellingman,1990s,11
Jerry Losty,1990s,1
Jerry.Losty at london.british-library.uk,1990s,1
Jerry.Losty at mail.bl.uk,1990s,2
Jeson Woo,1990s,4
Jesper Larnæs,2000s,1
Jesper Larnæs,2010s,3
Jesse Knutson,2010s,129
Jesse Knutson,2020s,24
Jesse Knutson (via Google Drive),2020s,1
Jessie Pons,2010s,5
Jessie Pons,2020s,5
Jesualdo Correia,2000s,12
Jibunnessa,1990s,14
Jigar Dehlavi,1990s,1
Jim Cocks,1990s,4
Jim Hartzell,1990s,22
Jim Mallinson,2010s,6
Jim Mallinson,2020s,4
Jim Ryan,2020s,21
Jim.Veitch at vuw.ac.nz,1990s,1
Jinavamsa at aol.com,1990s,1
Jinesh Sheth,2020s,1
Jiri Holba,1990s,1
Jo,2010s,26
Jo Brill,2010s,7
Jo Brill,2020s,3
Jo Kirkpatrick,1990s,9
Joanna Jurewicz,2000s,3
Joanna Jurewicz,2010s,31
Joanna Jurewicz,2020s,62
Joanna Kirkpatrick,2000s,2
Joel Bordeaux,2000s,7
Joel Bordeaux,2010s,5
Joel Brereton,2000s,2
Joel Brereton,2010s,1
Joel Eugene Bordeaux,2010s,2
Joel H. Tatelman,1990s,11
Joel Tatelman,1990s,13
Joel Ðietz,2020s,2
Joerg Gengnagel,2000s,12
Joerg Gengnagel,2010s,15
Jogesh Panda,1990s,2
Jogesh Panda,2000s,28
Johanna Buss,2000s,1
Johanna Buss,2010s,4
Johanna Buss,2020s,4
Johanna Bu�,2000s,1
Johannes B Tuemmers,1990s,2
Johannes B. Tuemmers,1990s,14
Johannes B. Tümmers MA,1990s,2
Johannes Bronkhorst,1990s,7
Johannes Bronkhorst,2000s,5
Johannes Bronkhorst,2010s,28
Johannes Bronkhorst,2020s,17
Johannes E.M. Houben,2010s,3
Johannes Schneider,2000s,2
Johannes Schneider,2010s,2
Johannes.Bronkhorst at orient.unil.ch,1990s,15
John A Grimes,1990s,3
John Archer,1990s,3
John Brockington,1990s,13
John Brockington,2000s,43
John Brockington,2010s,21
John Brockington,2020s,14
John C. Huntington,2000s,73
John C. Huntington,2010s,9
John D. Dunne,2000s,2
John D. Smith,1990s,2
John Doe,1990s,1
John Dunne,1990s,17
John Dunne,2000s,3
John Dupuche,1990s,5
John GROVES,1990s,1
John Gardner,1990s,19
John Hughes,1990s,1
John Huntington,2000s,54
John Huntington,2010s,22
John Huntington,2020s,5
John Lowe,2010s,1
John Lowe,2020s,17
John McRae,1990s,1
John Napier,1990s,6
John Nemec,1990s,1
John Nemec,2010s,10
John Newman,2000s,2
John Newman (NC),1990s,2
John Oliver Perry,1990s,4
John Oliver Perry,2000s,2
John Peterson,1990s,8
John Peterson,2000s,10
John Peterson,2010s,8
John Peterson,2020s,5
John Powers,1990s,2
John Richards,1990s,19
John Richards,2000s,6
John Robert Gardner,1990s,4
John Robert Gardner,2000s,11
John Smith,1990s,102
John Smith,2000s,7
John Taber,2000s,2
John Taber,2010s,8
John Taber,2020s,5
John William Nemec,2000s,5
John William Nemec,2010s,9
John.Powers at anu.edu.au,1990s,7
Johnrobert Gardner,2020s,5
"Johnson, Dave",1990s,1
Jon Skarpeid,1990s,17
Jon Skarpeid,2000s,8
Jon Skarpeid,2010s,6
Jon Skarpeid,2020s,1
Jon Whalen,1990s,1
Jonardon Ganeri,2000s,2
Jonas Buchholz,2020s,1
Jonathan C. Gold,2010s,1
Jonathan Carr,1990s,1
Jonathan Duquette,2010s,3
Jonathan Duquette,2020s,4
Jonathan Edelmann,2000s,2
Jonathan Edelmann,2010s,11
Jonathan Edelmann,2020s,6
Jonathan Loar,2010s,7
Jonathan Loar,2020s,2
Jonathan Peterson,2010s,11
Jonathan Peterson,2020s,17
Jonathan R. Peterson,2020s,1
Jonathan Silk,1990s,10
Jonathan Silk,2000s,189
Jonathan Silk,2010s,212
Jonathan Silk,2020s,117
Jonathan.Silk at um.cc.umich.edu,1990s,10
Jose Thevercad,2000s,1
Joseph Carson,2000s,2
Joseph G. Walser,1990s,9
Joseph G. Walser,2000s,1
Joseph Walser,2000s,21
Joseph Walser,2010s,5
Joshi Rasik,1990s,5
Joshi Rasik,2000s,6
Jowita Kramer,2010s,1
Jowita Kramer,2020s,1
Joydeep,2010s,17
Joydeep Mitra,1990s,16
Judit Torzsok,2010s,13
Juergen Hanneder,2000s,5
Juergen Neuss,1990s,13
Juergen Neuss,2000s,8
Julia Hegewald,2000s,4
Julia Hegewald,2010s,33
Julia Hegewald,2020s,31
Julia Leslie,1990s,10
Julia Leslie,2000s,16
Julie Rocton,2020s,6
Julie Vig,2010s,1
Julie Vig,2020s,2
Julieta Rotaru,2000s,1
Julieta Rotaru,2010s,3
Jussi Nyblom,2000s,1
Justin A. Fifield,2000s,1
Justin Fifield,2010s,6
Justin Meiland,2000s,8
Jutta K. Lehmann,1990s,5
Jyotishi at aol.com,1990s,9
Jérôme Petit,2020s,2
Jörg Gengnagel,2000s,1
Jörg Gengnagel,2010s,4
Jörg Gengnagel,2020s,2
Jürgen Neuss,2000s,4
Jürgen Neuss,2010s,15
Jürgen Neuß,2010s,7
K N Neelakantan,2000s,2
K N Neelakantan Elayath,2000s,1
K R,1990s,1
K S Arjunwadkar,1990s,32
K V N Gopal,1990s,6
K. S. Arjunwadkar,1990s,41
K.J. Ram-Prasad,2020s,1
K.KRISHNAMURTHY,1990s,3
K.KRISHNAMURTHY,2000s,1
K.M.R. Pfaehler,1990s,2
K.Ramanitharan,1990s,1
K12GNSQS at vaxc.hofstra.edu,1990s,1
KARTHIK ANAND CHANDRAMOULI,1990s,1
KERNLIB at rullet.LeidenUniv.nl,1990s,2
KERNLIBRVN at rullet.LeidenUniv.nl,1990s,9
KHINCE at vax1.miu.edu,1990s,1
KHarper at lmumail.lmu.edu,1990s,2
KIM Jae-sung(Jung Won),1990s,1
KJKARTTU,1990s,7
KORN Agnes,2010s,6
KORN Agnes,2020s,16
KWEGMAN at vax1.miu.edu,1990s,2
"Kadiri, Krishna",2000s,1
Kailash Srivastava,1990s,9
Kailash Srivastava,2000s,3
Kakmuk,1990s,2
Kalyan Brata Ghatak,1990s,1
Kalyanaraman,1990s,6
Kalyans at aol.com,1990s,16
