normalized_author,author_id,message_count,thread_count,first_year,last_year,top_topic,top_list_function,resolved_replies_sent,resolved_replies_received,author_status
Appasamy Murugaiyan,indology-author-d5b2ff467a,10,9,2018,2025,Announcements and events,announcement/event,3,1,confirmed
Claudine Bautze-Picron,indology-author-8264bfe1f7,10,9,2009,2010,General scholarly discussion,general discussion,8,1,confirmed
HFArnold at aol.com,indology-author-45aabe8014,10,9,1996,1997,General scholarly discussion,general discussion,8,1,needs_review
Jadranka Schauer,indology-author-bc752ed924,10,9,1998,2000,General scholarly discussion,general discussion,5,2,confirmed
Jaroslav Strnad,indology-author-f787bd5918,10,9,1995,1998,General scholarly discussion,general discussion,5,0,confirmed
Jim Mallinson,indology-author-101c7d5bcd,10,9,2012,2026,Announcements and events,general discussion,5,4,confirmed
Jo Brill,indology-author-75035537b7,10,9,2014,2024,General scholarly discussion,general discussion,2,8,confirmed
Jonathan.Silk at um.cc.umich.edu,indology-author-c74dc32d4a,10,9,1994,1994,General scholarly discussion,general discussion,4,7,needs_review
Leslaw Borowski,indology-author-89f1c73e72,10,9,1995,1995,General scholarly discussion,general discussion,2,6,confirmed
Martin Epstein,indology-author-d637c7c78e,10,9,1996,1999,General scholarly discussion,general discussion,2,25,confirmed
Masato Fujii,indology-author-8c30358855,10,9,1995,2011,General scholarly discussion,general discussion,10,0,confirmed
S Stephen,indology-author-c8652afa0d,10,9,1999,1999,General scholarly discussion,general discussion,8,1,confirmed
"Schmücker, Marcus",indology-author-f744c32460,10,9,2011,2024,General scholarly discussion,general discussion,2,3,confirmed
Th. de Bruijn,indology-author-8bb19aaea4,10,9,1998,1999,General scholarly discussion,general discussion,6,7,confirmed
echnaton at fub46.zedat.fu-berlin.de,indology-author-261f5280cb,10,9,1995,1995,General scholarly discussion,general discussion,3,1,needs_review
gldnreef at primenet.com,indology-author-bfdf19333b,10,9,1997,1997,General scholarly discussion,general discussion,7,0,needs_review
rwl at uts.cc.utexas.edu,indology-author-222bf5c848,10,9,1994,1995,General scholarly discussion,general discussion,7,0,needs_review
tccahill,indology-author-1336779e28,10,9,2007,2010,General scholarly discussion,general discussion,3,3,needs_review
torella at rmcisadu.cisadu.uniroma1.it,indology-author-09e7bdf960,10,9,1995,1995,General scholarly discussion,general discussion,4,4,needs_review
G.J. Meulenbeld,indology-author-b37cc1433d,10,8,2008,2010,General scholarly discussion,general discussion,10,0,confirmed
Jessie Pons,indology-author-8ff52bb8a4,10,8,2013,2026,Announcements and events,general discussion,3,7,confirmed
Joseph G. Walser,indology-author-7ec8bb4531,10,8,1999,2000,General scholarly discussion,general discussion,2,8,confirmed
Justin Meiland,indology-author-f81313e027,10,8,1999,2008,General scholarly discussion,general discussion,6,1,confirmed
Ravi Chawla,indology-author-2b1bb811e0,10,8,1999,2000,General scholarly discussion,general discussion,9,0,confirmed
adi at uclink2.berkeley.edu,indology-author-d52f1515eb,10,8,1994,1996,General scholarly discussion,general discussion,5,1,needs_review
ai927 at freenet.carleton.ca,indology-author-24621f4253,10,8,1993,1995,General scholarly discussion,general discussion,4,3,needs_review
ashok.aklujkar,indology-author-f4c1f17f05,10,8,2007,2008,General scholarly discussion,general discussion,4,6,needs_review
Andrew Cohen,indology-author-86fcbf7ed9,10,7,1996,1999,General scholarly discussion,general discussion,7,1,confirmed
André Signoret,indology-author-709068c657,10,7,2000,2000,General scholarly discussion,general discussion,7,4,confirmed
Chris Clark,indology-author-5d8a1fc7fe,10,7,2011,2016,Buddhism and Jainism,general discussion,7,5,confirmed
Paul (Kekai) Manansala,indology-author-36f4518127,10,7,1998,1998,General scholarly discussion,general discussion,8,2,confirmed
Charles,indology-author-cbdb0cc7f3,10,6,1998,1998,General scholarly discussion,general discussion,10,0,needs_review
Per-Johan Norelius,indology-author-786c75cfb2,10,6,2019,2022,Bibliographic requests,bibliographic request,4,10,confirmed
Viktor V. Sukliyan,indology-author-1f6f760438,10,6,1998,1998,General scholarly discussion,general discussion,7,2,confirmed
madhav.deshpande at EDU.UMICH.CC.UM,indology-author-06716324c5,10,6,1991,1992,General scholarly discussion,general discussion,6,8,needs_review
winnie,indology-author-32c21ad264,10,4,1998,1998,Texts and philology,philological discussion,7,16,needs_review
Andrew Fort,indology-author-38d88c6ce6,9,9,1994,1995,General scholarly discussion,general discussion,1,8,confirmed
Bob King - ligi355 at utxvms.cc.utexas.edu,indology-author-b60ba4e115,9,9,1991,1994,General scholarly discussion,general discussion,7,1,needs_review
"Clarke, Shayne",indology-author-78b0ac1ccc,9,9,2016,2025,General scholarly discussion,general discussion,5,2,confirmed
DC Lammerts,indology-author-069525d2d8,9,9,2014,2020,Announcements and events,job/position,2,2,confirmed
Daud R. Ali,indology-author-6c2daab8bd,9,9,1995,1995,General scholarly discussion,general discussion,4,7,confirmed
DiSimone Charles,indology-author-f35841b47f,9,9,2008,2013,General scholarly discussion,general discussion,2,7,confirmed
Donald R Davis Jr,indology-author-30088a9c9e,9,9,2009,2013,General scholarly discussion,general discussion,2,2,confirmed
E. Bashir,indology-author-1fe28af633,9,9,1997,2000,General scholarly discussion,general discussion,3,16,confirmed
HaroldA at eworld.com,indology-author-2ea7557527,9,9,1995,1996,General scholarly discussion,general discussion,8,1,needs_review
INDIAN BOOKS CENTRE,indology-author-03f7ccbdbd,9,9,1996,1997,General scholarly discussion,general discussion,8,0,confirmed
Jonathan Loar,indology-author-4f0b4f39de,9,9,2018,2025,Announcements and events,job/position,0,1,confirmed
Nozawa Masanobu,indology-author-0f844562e3,9,9,1996,2000,General scholarly discussion,general discussion,5,3,confirmed
PD Dr. Heike Oberlin,indology-author-f774eeb4b4,9,9,2015,2017,General scholarly discussion,general discussion,0,2,confirmed
Patrick McAllister,indology-author-8928f1fe9b,9,9,2016,2022,General scholarly discussion,general discussion,5,2,confirmed
Peter_Scharf at brown.edu,indology-author-dacef5bf76,9,9,1994,1995,General scholarly discussion,general discussion,5,0,needs_review
"Prof Laurie Patton, Ph.D.",indology-author-31c9f2107b,9,9,2014,2016,General scholarly discussion,general discussion,8,3,confirmed
Rajeev P. Jain,indology-author-8eebb4cafe,9,9,2015,2023,General scholarly discussion,general discussion,3,3,confirmed
SIDDHARTHV at delphi.com,indology-author-57e2552daa,9,9,1993,1994,General scholarly discussion,general discussion,3,5,needs_review
Som Dev Vasudeva,indology-author-a85d279529,9,9,2006,2020,General scholarly discussion,general discussion,6,1,confirmed
Sravana Borkataky-Varma,indology-author-e0e031491c,9,9,2018,2023,General scholarly discussion,general discussion,0,5,confirmed
Tamar Reich,indology-author-c4447cabf8,9,9,2003,2005,General scholarly discussion,general discussion,7,0,confirmed
"Thomas C, Burke",indology-author-d0e0422485,9,9,1999,2001,General scholarly discussion,general discussion,5,4,confirmed
Vijay Shankar,indology-author-1eee26a451,9,9,2000,2001,General scholarly discussion,general discussion,3,11,confirmed
balakrishnan raju,indology-author-3ec69bd126,9,9,1999,2000,General scholarly discussion,general discussion,5,1,confirmed
phijag at zelacom.com,indology-author-e92f377a89,9,9,1996,1997,General scholarly discussion,general discussion,5,1,needs_review
sjohar at library.usyd.edu.au,indology-author-585e832618,9,9,1995,1995,General scholarly discussion,general discussion,4,4,needs_review
Bapa Rao,indology-author-3a54a92171,9,8,1998,1999,General scholarly discussion,general discussion,5,1,confirmed
Brendan S. Gillon,indology-author-5e4b16f05e,9,8,1990,1996,General scholarly discussion,general discussion,3,4,confirmed
David Jonsson,indology-author-b610a23f74,9,8,1999,1999,General scholarly discussion,general discussion,2,7,confirmed
Ditte Koenig,indology-author-61746de073,9,8,1997,1997,General scholarly discussion,general discussion,5,1,confirmed
Dr. S.Kalyanaraman,indology-author-5c637b74e0,9,8,1997,1997,General scholarly discussion,general discussion,2,5,confirmed
Eric Moses Gurevitch,indology-author-4508597c93,9,8,2022,2025,General scholarly discussion,general discussion,8,4,confirmed
George L. HART,indology-author-4a9959db7f,9,8,2017,2023,General scholarly discussion,general discussion,9,7,confirmed
Girish Sharma,indology-author-5fdffaa3db,9,8,1997,1998,General scholarly discussion,general discussion,1,13,confirmed
H. Isaacson,indology-author-ea3ed58bb8,9,8,1995,1995,General scholarly discussion,general discussion,3,2,confirmed
Johanna Buss,indology-author-ec8137b1c9,9,8,2006,2021,Announcements and events,announcement/event,3,2,confirmed
KERNLIBRVN at rullet.LeidenUniv.nl,indology-author-a894756d7f,9,8,1996,1997,General scholarly discussion,general discussion,4,0,needs_review
Marion Rastelli,indology-author-97f060d2ec,9,8,2000,2008,General scholarly discussion,general discussion,3,3,confirmed
Nicholas Bedworth,indology-author-094e106c04,9,8,1999,1999,General scholarly discussion,general discussion,2,5,confirmed
Professor D N Jha,indology-author-98c0a94d9e,9,8,2000,2000,General scholarly discussion,general discussion,5,3,confirmed
"Reich, James David",indology-author-0412315a4d,9,8,2021,2024,General scholarly discussion,general discussion,2,7,confirmed
Sugandha Johar,indology-author-f634b850c2,9,8,1996,1997,General scholarly discussion,general discussion,6,1,confirmed
Svevo D'Onofrio,indology-author-1d8f400c25,9,8,2008,2016,General scholarly discussion,general discussion,6,2,confirmed
Thomas Kintaert,indology-author-f05affbcc1,9,8,2009,2017,General scholarly discussion,general discussion,6,3,confirmed
Vincent Eltschinger,indology-author-6cd8cdf515,9,8,2008,2012,General scholarly discussion,general discussion,8,1,confirmed
Warner Belanger,indology-author-9c589debaf,9,8,1997,2016,General scholarly discussion,general discussion,4,7,confirmed
katherine eirene ulrich,indology-author-f1bf98c468,9,8,1996,1997,General scholarly discussion,general discussion,4,9,confirmed
mccomas,indology-author-107290fb75,9,8,2002,2002,General scholarly discussion,general discussion,8,0,needs_review
pf at cix.co.uk,indology-author-922b99baca,9,8,1997,1997,General scholarly discussion,general discussion,7,2,needs_review
silk at wmich.edu,indology-author-2d697d7239,9,8,1997,1997,General scholarly discussion,general discussion,3,8,needs_review
tat at quel.stu.neva.ru,indology-author-292d55fe54,9,8,1997,1997,General scholarly discussion,general discussion,3,4,needs_review
yanom at JPNKSUVX.EARN,indology-author-6947e4788a,9,8,1993,1994,General scholarly discussion,general discussion,6,6,needs_review
Daniela Bevilacqua,indology-author-608d63a43a,9,7,2024,2026,General scholarly discussion,general discussion,2,3,confirmed
Dick Oliver,indology-author-4ec65eb6df,9,7,1997,1997,General scholarly discussion,general discussion,5,6,confirmed
Dr. Will Tuladhar-Douglas,indology-author-dc954dbdc0,9,7,2010,2015,Bibliographic requests,general discussion,6,4,confirmed
Finn Moore Gerety,indology-author-d8d44bcf3d,9,7,2024,2026,General scholarly discussion,general discussion,5,6,confirmed
Gail Coelho,indology-author-20f32f9fc5,9,7,1997,1999,General scholarly discussion,general discussion,7,4,confirmed
HdGoswami,indology-author-2663718008,9,7,2016,2017,General scholarly discussion,general discussion,4,4,needs_review
Jo Kirkpatrick,indology-author-e95ead5bb5,9,7,1998,1998,General scholarly discussion,general discussion,4,16,confirmed
Kishore Krshna,indology-author-4503698e53,9,7,1996,1997,General scholarly discussion,general discussion,8,3,confirmed
LGoehler at aol.com,indology-author-65d24d4f31,9,7,1996,1996,General scholarly discussion,general discussion,6,7,needs_review
Pascale Haag,indology-author-f3e752f47e,9,7,2006,2014,General scholarly discussion,general discussion,3,3,confirmed
Rama Balasubramanian,indology-author-6c2371db6c,9,7,1997,1998,General scholarly discussion,general discussion,8,1,confirmed
beitel,indology-author-597670caae,9,7,1999,2003,General scholarly discussion,general discussion,6,12,needs_review
soni at Mailer.Uni-Marburg.DE,indology-author-6361cdaa57,9,7,1995,1996,General scholarly discussion,general discussion,6,0,needs_review
soumitra at ix.netcom.com,indology-author-f96f540edc,9,7,1995,1996,General scholarly discussion,general discussion,9,0,needs_review
Anna Slaczka,indology-author-1cc7b210f0,9,6,2013,2022,General scholarly discussion,general discussion,6,6,confirmed
rainer stuhrmann,indology-author-5711b6bf32,9,6,2016,2021,General scholarly discussion,general discussion,8,4,confirmed
Himanshu Dave,indology-author-d0a5b738b8,9,5,2000,2000,General scholarly discussion,general discussion,9,0,confirmed
Jaob Schmidt-Madsen,indology-author-cd7be14e62,9,5,2011,2011,General scholarly discussion,general discussion,5,5,confirmed
Jyotishi at aol.com,indology-author-3795b7dc78,9,5,1997,1997,General scholarly discussion,general discussion,6,1,needs_review
Mark Singleton,indology-author-621e06425b,9,5,2007,2018,Veda and ritual,general discussion,7,4,confirmed
Rosina Pastore,indology-author-f5facaf7ad,9,3,2025,2025,General scholarly discussion,general discussion,8,3,confirmed
Akihiko Akamatsu,indology-author-8ee2897e6f,8,8,1994,2009,General scholarly discussion,general discussion,2,0,confirmed
Bruce.Sullivan at nau.edu,indology-author-2a97b5c95b,8,8,1995,1997,General scholarly discussion,general discussion,4,4,needs_review
Cezary Galewicz,indology-author-a9ae6a5f0e,8,8,1996,2017,General scholarly discussion,general discussion,3,2,confirmed
Dr Anthony P Stone,indology-author-194e3a6796,8,8,1999,2000,General scholarly discussion,general discussion,7,0,confirmed
Ernst Steinkellner,indology-author-655add6190,8,8,2002,2005,General scholarly discussion,general discussion,5,2,confirmed
Gary J Hausman,indology-author-b8cab25fbc,8,8,1996,1997,General scholarly discussion,general discussion,5,0,confirmed
Graefe,indology-author-fd09555230,8,8,1999,2000,General scholarly discussion,general discussion,4,1,needs_review
Gregory {Greg} Downing,indology-author-24f91f3a5c,8,8,1997,1998,General scholarly discussion,general discussion,2,11,confirmed
Harold F. Arnold,indology-author-9ba0d8825e,8,8,1997,1999,General scholarly discussion,general discussion,8,0,confirmed
Heleen De Jonckheere,indology-author-f533e27ccd,8,8,2018,2022,Announcements and events,announcement/event,0,0,confirmed
Helen Oles Giunta,indology-author-43d303add0,8,8,1999,2000,General scholarly discussion,general discussion,6,7,confirmed
Henry Groover,indology-author-488c12a610,8,8,1995,1996,General scholarly discussion,general discussion,1,1,confirmed
Horst Lasic,indology-author-b5f3e84fdd,8,8,1997,2000,General scholarly discussion,general discussion,5,0,confirmed
JHUBBARD at smith.smith.edu,indology-author-5621ac3557,8,8,1993,1994,General scholarly discussion,general discussion,6,0,needs_review
Jayandra Soni,indology-author-13240cbc10,8,8,2012,2013,General scholarly discussion,general discussion,0,0,confirmed
Katja Hofmann,indology-author-9ca3e653b4,8,8,1998,1998,General scholarly discussion,general discussion,2,6,confirmed
M. Tandy,indology-author-77e153ed4d,8,8,1998,2000,General scholarly discussion,general discussion,7,0,confirmed
Mary McGee,indology-author-4bc8386156,8,8,1996,1998,General scholarly discussion,general discussion,2,6,confirmed
SAMUELS JEFFREY,indology-author-6422f645e4,8,8,1993,1994,General scholarly discussion,general discussion,2,11,confirmed
SHREENAND BAPAT,indology-author-0c4705f786,8,8,2000,2001,General scholarly discussion,general discussion,3,1,confirmed
Somdev Vasudeva,indology-author-245c3cb591,8,8,1995,2013,General scholarly discussion,general discussion,3,1,confirmed
Sreenivasa S. S. Nittala,indology-author-c978814d43,8,8,1996,1998,Bibliographic requests,general discussion,5,6,confirmed
Sushil Jain,indology-author-cc21219855,8,8,1996,2000,General scholarly discussion,general discussion,0,2,confirmed
czm1 at cornell.edu,indology-author-e12493a38c,8,8,1993,1995,General scholarly discussion,general discussion,5,4,needs_review
gor05,indology-author-33c70a92e4,8,8,1995,1996,General scholarly discussion,general discussion,0,3,needs_review
hans bakker,indology-author-211a79cbce,8,8,2008,2013,General scholarly discussion,general discussion,2,2,confirmed
william j alspaugh,indology-author-66dc47f655,8,8,1995,1996,General scholarly discussion,general discussion,5,2,confirmed
Anand V Raman,indology-author-e0c8c98c30,8,7,1992,1994,General scholarly discussion,general discussion,4,2,confirmed
Christina Fritsch,indology-author-1bccedd508,8,7,1998,1999,General scholarly discussion,general discussion,2,7,confirmed
Erik Sand,indology-author-0c5d8022d9,8,7,1999,2014,Bibliographic requests,general discussion,2,5,confirmed
Jason Neelis,indology-author-cc7b1e2e7a,8,7,2003,2014,General scholarly discussion,general discussion,3,6,confirmed
Krishna P Konduru,indology-author-24dc908013,8,7,1998,1998,General scholarly discussion,general discussion,6,43,confirmed
Mahendra Verma,indology-author-50c4c2b419,8,7,1996,1999,General scholarly discussion,general discussion,4,6,confirmed
Matthew Clark,indology-author-53e60271a4,8,7,2018,2023,General scholarly discussion,general discussion,4,10,confirmed
"McGrath, Kevin",indology-author-2c6ff020d9,8,7,2016,2023,General scholarly discussion,general discussion,5,3,confirmed
"Mehta, Shailendra",indology-author-311e6979d9,8,7,1995,2000,General scholarly discussion,general discussion,2,7,confirmed
Olga Nowicka,indology-author-67ddc21048,8,7,2015,2025,General scholarly discussion,general discussion,2,3,confirmed
Prof. D N Jha,indology-author-fc4f8ec875,8,7,2000,2001,General scholarly discussion,general discussion,5,3,confirmed
Ramani,indology-author-c4546c354a,8,7,1997,1997,General scholarly discussion,general discussion,5,2,needs_review
Ravindran Sriramachhandran,indology-author-cc10d7c908,8,7,2004,2012,General scholarly discussion,general discussion,7,1,confirmed
Richard Thomas,indology-author-ff652f1afc,8,7,2000,2000,General scholarly discussion,general discussion,1,10,confirmed
Richard.Barz at anu.edu.au,indology-author-7997aab134,8,7,1996,1997,General scholarly discussion,general discussion,7,0,needs_review
"Smith, Frederick M",indology-author-40e1c921d8,8,7,2008,2025,General scholarly discussion,general discussion,5,21,confirmed
Swami Gitananda,indology-author-071f67b5f0,8,7,1997,1997,Bibliographic requests,general discussion,6,1,confirmed
Ute Hüsken,indology-author-9e08fa2e63,8,7,2014,2018,Announcements and events,announcement/event,2,1,confirmed
Voix Raphael,indology-author-b0236c661c,8,7,2017,2026,Announcements and events,general discussion,1,1,confirmed
Yiming,indology-author-79c581d513,8,7,2018,2019,Announcements and events,announcement/event,2,2,needs_review
anil k gupta,indology-author-2bcefb6966,8,7,1998,1998,General scholarly discussion,general discussion,4,1,confirmed
christoph.emmrich at UTORONTO.CA,indology-author-be0f548a7b,8,7,2008,2013,General scholarly discussion,general discussion,3,0,needs_review
dlusthau at mailer.fsu.edu,indology-author-6c384eb7bd,8,7,1996,1997,General scholarly discussion,general discussion,7,1,needs_review
falk,indology-author-484ccb0bbb,8,7,1990,2006,General scholarly discussion,general discussion,2,7,needs_review
rozehnal at praha1.ff.cuni.cz,indology-author-d68200c790,8,7,1993,1995,General scholarly discussion,general discussion,2,3,needs_review
Dimitry Shevchenko,indology-author-bf75acb38f,8,6,2017,2022,General scholarly discussion,general discussion,4,5,confirmed
Elisa Ganser,indology-author-bd8a9426e6,8,6,2018,2023,Bibliographic requests,bibliographic request,3,4,confirmed
Michaël Meyer,indology-author-e922d9f560,8,6,2019,2024,Bibliographic requests,general discussion,8,6,confirmed
Shankar Nair,indology-author-1d85380323,8,6,2016,2023,General scholarly discussion,general discussion,6,12,confirmed
dmitry shevchenko,indology-author-b441bbbc06,8,6,2023,2026,Bibliographic requests,general discussion,6,5,confirmed
keerthi kumar,indology-author-fcc1b6aba5,8,6,1997,1999,General scholarly discussion,general discussion,2,2,confirmed
Chris Wallis,indology-author-3141da8224,8,5,2000,2000,General scholarly discussion,general discussion,5,9,confirmed
Jens Thomas,indology-author-bf871011e8,8,5,2020,2022,Bibliographic requests,bibliographic request,5,7,confirmed
Kellner,indology-author-0e67ff419d,8,5,1994,1995,General scholarly discussion,general discussion,3,8,needs_review
P. Cooper,indology-author-5f032030a7,8,5,1997,1999,General scholarly discussion,general discussion,6,1,confirmed
Max Langley,indology-author-353be5e416,8,3,1997,1997,History and culture,general discussion,8,0,confirmed
Anurupa IFP,indology-author-9a4e2d87f3,7,7,2013,2015,General scholarly discussion,general discussion,3,0,confirmed
Chris Austin,indology-author-23507b611f,7,7,1996,2002,General scholarly discussion,general discussion,2,12,confirmed
DEVI IFP,indology-author-89faf5a477,7,7,2003,2003,General scholarly discussion,general discussion,4,0,confirmed
Daniela De Simone,indology-author-328800a1d2,7,7,2017,2022,Announcements and events,general discussion,1,2,confirmed
Deven Patel,indology-author-de9fada184,7,7,2008,2025,General scholarly discussion,general discussion,2,12,confirmed
Dr. Dominik Wujastyk,indology-author-fadc1a4a45,7,7,1995,1995,General scholarly discussion,general discussion,1,6,confirmed
Eviatar Shulman,indology-author-59e6c83a35,7,7,2017,2023,Announcements and events,announcement/event,0,1,confirmed
Frank Van Den Bossche,indology-author-5c9c30069e,7,7,1996,2000,General scholarly discussion,general discussion,2,11,confirmed
Gabriel,indology-author-18a98c35f4,7,7,1999,2000,General scholarly discussion,general discussion,5,0,needs_review
George Baumann,indology-author-bdbe005212,7,7,2000,2001,General scholarly discussion,general discussion,4,2,confirmed
Greg Jay,indology-author-36dfdec269,7,7,1998,2000,General scholarly discussion,general discussion,5,9,confirmed
Inst. Of Asian Cultures,indology-author-71177d0bc4,7,7,1996,1998,General scholarly discussion,general discussion,2,3,confirmed
JBRONKHO at CH.UNIL.ULYS,indology-author-25f34c4a3d,7,7,1991,1992,General scholarly discussion,general discussion,0,2,needs_review
Jonathan Duquette,indology-author-b10594b9e1,7,7,2014,2022,General scholarly discussion,general discussion,3,2,confirmed
Jörg Gengnagel,indology-author-00198cd1ea,7,7,2001,2022,Announcements and events,general discussion,2,0,confirmed
Kristen Anne Hardy,indology-author-b6a2b7ffbd,7,7,1997,1999,General scholarly discussion,general discussion,0,17,confirmed
Namrata Bose,indology-author-f139f2a2f9,7,7,1999,2000,General scholarly discussion,general discussion,0,16,confirmed
Pathompong Bodhiprasiddhinand,indology-author-a6f668f79c,7,7,2006,2016,Announcements and events,job/position,1,0,confirmed
Peter Freund,indology-author-0a1198af72,7,7,1999,2000,General scholarly discussion,general discussion,2,10,confirmed
Prof. P. Kumar,indology-author-b0a7944eb0,7,7,1999,2001,General scholarly discussion,general discussion,4,2,confirmed
Rajam,indology-author-5071330ef4,7,7,2013,2013,General scholarly discussion,general discussion,5,3,needs_review
"Raven, E.M.",indology-author-f923e0b889,7,7,1998,1999,General scholarly discussion,general discussion,5,1,confirmed
Richard Lariviere,indology-author-a2b9c2c163,7,7,1992,1994,General scholarly discussion,general discussion,4,2,confirmed
"Robert, Eric",indology-author-001b4b6f06,7,7,1999,2000,General scholarly discussion,general discussion,0,10,confirmed
South Asia Section,indology-author-7e2bab7dfc,7,7,1996,1998,General scholarly discussion,general discussion,3,1,confirmed
Steven E. Lindquist,indology-author-7efc323f28,7,7,2000,2001,General scholarly discussion,general discussion,3,2,confirmed
Swami Tyagananda,indology-author-5d06b2f36f,7,7,2000,2001,General scholarly discussion,general discussion,5,17,confirmed
WILLIAM HARMAN,indology-author-f9b8ce70e6,7,7,1995,1997,General scholarly discussion,general discussion,5,0,confirmed
Will Tuladhar-Douglas,indology-author-895b3dbd0d,7,7,2007,2026,General scholarly discussion,general discussion,6,0,confirmed
Yang Qu,indology-author-3c0e1166e1,7,7,2022,2026,General scholarly discussion,general discussion,0,4,confirmed
alfredo at sunny.mpimf-heidelberg.mpg.de,indology-author-0491086213,7,7,1995,1996,General scholarly discussion,general discussion,6,1,needs_review
christoph.emmrich at utoronto.ca,indology-author-be0f548a7b,7,7,2013,2015,Announcements and events,announcement/event,2,2,needs_review
dom,indology-author-be65d27ae0,7,7,1994,1994,General scholarly discussion,general discussion,2,6,needs_review
hal_computer at earthlink.net,indology-author-34791119f0,7,7,1994,1995,General scholarly discussion,general discussion,5,1,needs_review
lgriff at po-box.mcgill.ca,indology-author-0034779970,7,7,1996,1996,General scholarly discussion,general discussion,5,14,needs_review
michael baltutis,indology-author-48d9316a8f,7,7,2017,2026,General scholarly discussion,general discussion,2,3,confirmed
milton degeorge,indology-author-2d07913cbf,7,7,2000,2001,General scholarly discussion,general discussion,0,4,confirmed
pf,indology-author-586de3e930,7,7,2006,2006,General scholarly discussion,general discussion,1,0,needs_review
rekha rani,indology-author-150d4d7e78,7,7,2013,2026,General scholarly discussion,general discussion,5,1,confirmed
reusch at uclink4.berkeley.edu,indology-author-f76d63c627,7,7,1996,1996,General scholarly discussion,general discussion,1,2,needs_review
wgw at dnai.com,indology-author-dbcb1b98af,7,7,1997,1997,General scholarly discussion,general discussion,3,6,needs_review
yanom at EARN.JPNKSUVX,indology-author-36b3adf640,7,7,1992,1992,General scholarly discussion,general discussion,3,2,needs_review
Andrea Marion Pinkney,indology-author-c19b02a27f,7,6,2000,2007,General scholarly discussion,general discussion,2,3,confirmed
B.Loturco at agora.stm.it,indology-author-509a2a7899,7,6,1995,1995,General scholarly discussion,general discussion,1,5,needs_review
Bal Prasad,indology-author-5d86a2cf1e,7,6,1998,2000,General scholarly discussion,general discussion,3,2,confirmed
"Buchholz, Jonas",indology-author-f3afe005b4,7,6,2023,2025,General scholarly discussion,general discussion,4,5,confirmed
Chlodwig H. Werba,indology-author-794a7256ed,7,6,2015,2018,General scholarly discussion,general discussion,5,3,confirmed
Corinna May Lhoir,indology-author-6ac2d805b5,7,6,2020,2023,Announcements and events,announcement/event,1,1,confirmed
David S. Magier,indology-author-1cd3ca2611,7,6,2018,2025,Bibliographic requests,general discussion,3,2,confirmed
David Stampe,indology-author-9811238ac3,7,6,1992,1995,General scholarly discussion,general discussion,4,2,confirmed
Florinda De Simini,indology-author-9dbc54bb68,7,6,2016,2026,History and culture,general discussion,1,2,confirmed
J. Neelis,indology-author-8dbbf4219a,7,6,1996,2000,General scholarly discussion,general discussion,4,2,confirmed
J. Randall Groves,indology-author-800d3186b9,7,6,1996,1997,General scholarly discussion,general discussion,1,23,confirmed
JAMES RYAN,indology-author-d591a2b75a,7,6,2024,2026,General scholarly discussion,general discussion,4,4,confirmed
Jamie HUBBARD,indology-author-749d2ef859,7,6,1991,1998,General scholarly discussion,general discussion,3,5,confirmed
Jennifer Cover,indology-author-56084b66cc,7,6,2009,2014,General scholarly discussion,general discussion,3,4,confirmed
John.Powers at anu.edu.au,indology-author-39be03015d,7,6,1995,1997,General scholarly discussion,general discussion,4,9,needs_review
KJKARTTU,indology-author-1548c2386f,7,6,1996,1997,General scholarly discussion,general discussion,3,0,needs_review
Kamal R. Adhikary,indology-author-55083c6b12,7,6,1997,1999,General scholarly discussion,general discussion,2,1,confirmed
Kristen Hardy,indology-author-d3c5838847,7,6,1998,1999,General scholarly discussion,general discussion,1,7,confirmed
Leo Facq,indology-author-97b9aff919,7,6,1995,1999,General scholarly discussion,general discussion,3,1,confirmed
Marco Ferrante,indology-author-c6a4baa97a,7,6,2021,2025,Announcements and events,announcement/event,3,1,confirmed
Richard G Salomon,indology-author-24dc5ce228,7,6,2007,2018,General scholarly discussion,general discussion,6,5,confirmed
Royce.Wiles at anu.edu.au,indology-author-33d22ce1a5,7,6,1997,1997,General scholarly discussion,general discussion,4,0,needs_review
Sharon Ben-Dor,indology-author-149065e08a,7,6,2014,2025,General scholarly discussion,general discussion,7,6,confirmed
huet,indology-author-7bfda3e7e1,7,6,2019,2024,General scholarly discussion,general discussion,6,9,needs_review
Alastair Gornall,indology-author-e52728a18f,7,5,2020,2022,General scholarly discussion,general discussion,3,4,confirmed
Anne Monius,indology-author-b38ac51f58,7,5,1997,2000,Announcements and events,general discussion,1,1,confirmed
Bridgman at aol.com,indology-author-e00095a7d4,7,5,1996,1996,General scholarly discussion,general discussion,5,7,needs_review
Dr. Nupam Mahajan,indology-author-30252d6d27,7,5,1998,2000,General scholarly discussion,general discussion,6,22,confirmed
IreneMaradei,indology-author-8f989138a3,7,5,1999,2000,General scholarly discussion,general discussion,4,1,needs_review
Isabella Nardi,indology-author-d4f6db7abf,7,5,2016,2022,Bibliographic requests,bibliographic request,2,4,confirmed
Krishna Susarla,indology-author-897dbfa4d1,7,5,1998,1999,General scholarly discussion,general discussion,2,10,confirmed
MLBD,indology-author-4875c191a4,7,5,1999,2000,General scholarly discussion,general discussion,5,3,needs_review
Nicole Karapanagiotis,indology-author-eb0fa460dd,7,5,2016,2023,General scholarly discussion,general discussion,4,4,confirmed
Paul Thomas,indology-author-1b7dfa05f5,7,5,2024,2026,General scholarly discussion,general discussion,4,7,confirmed
