keyword,label,status,reason,presentations,zograf,roerich,examples
индия,индия,hidden,слишком общий региональный маркер,181,130,51,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
парадигма,парадигма,public,предметный термин,6,3,3,"Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы"
передача,передача,public,предметный термин,6,3,3,О возможности передачи санскритских стихотворных размеров в русских переводах | Опыт передачи эпической шлоки в русской переводческой традиции | Роль представителя династии Тхакури (Тхакуджуджу) в ритуальной передаче власти в Непале | Брахманы намбудири: некоторые особенности традиции передачи ведийских текстов
письмо,письмо,public,предметный термин,6,3,3,"О письмах Ю.Н. Рериха из коллекции Д. Тарчина (Колумбийский университет, Нью-Йорк, США) | И. П. Минаев и Дж. Л. Киплинг: коллекции и письма | Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Бог и человек в поэзии Тагора. От «Иша-упанишады» до «Писем о России»"
племя,племя,public,предметный термин,6,6,0,Адиваси. Загадочное племя тода | Миф о Потопе и тыкве у племен западной Индии | Миф о Потопе и тыкве у дравидийских племен: к вопросу об истории контактов дравидов и мунда | Фольклор европейских рома (цыган) и мифы индийских племен
познание,познание,public,предметный термин,6,4,2,Теория познания в мадхьямаке-сватантрике (по трактату Бхававивеки «Мадхьямака-хридая») | Индийские шастры с точки зрения современной методологии познания | Роль языка в познании абсолютного согласно школе Гелук | Обоснование невозможности чувственного познания в «Прасаннападе» Чандракирти
поэтика,поэтика,public,предметный термин,6,3,3,Драма как категория и жанр в древнеиндийской поэтике | Стилистика Амаравати и поэтика «Лалитавистары» | Элементы игровой поэтики в махаянском описании ступеней бодхисаттвы в текстах «Большой Праджняпарамиты» | Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике
произведение,произведение,public,предметный термин,6,5,1,Проблемы интерпретации традиционного текста в произведениях индийских художников конца XIX – начала XX века | Россия и русские в произведениях Салмана Рушди | «Народная веданта» в произведениях Шричандры (XVI в.) | О происхождении некоторых ашрамных практик в произведениях Калидасы
путь,путь,public,предметный термин,6,2,4,"Санньяса и Брахмалока: смерть, социальная или физическая, как опосредующий этап пути к освобождению в адвайта-веданте | Стадии пути к освобождению по «Найшкармья-сиддхи» (I.52) Сурешвары | Ю.М. Парфионович: штрихи жизненного пути. Парфионович – продолжатель исследований Ю.Н. Рериха в области тибетологии. Совместная деятельность Ю.М. Парфионовича и В. С. Дылыковой по изучению и переводу «Калачакра-тантры». И.В. Григорьев. Ю.М. Парфионович и будущее отечественной буддологии | Проблемы датировки трактата Бхамахи и пути ее решения"
реальность,реальность,public,предметный термин,6,4,2,Список тамильских каст у Бартоломеуса Цигенбальга: книжная традиция vs историческая реальность | Майя в учениях новых индийских гуру — иллюзия или реальность | Легенда о поэте-ребёнке. Самбандар: миф и реальность | Дискуссия о четырех блаженствах: об одной стратегии для интерпретации истинной природы реальности в посвящении Хеваджра-тантры
родство,родство,public,предметный термин,6,5,1,О семантических переходах с участием терминов родства в старотамильском языке | Полисемия в области терминологии родства – дравидийские и индоарийские языки | Терминология родства в гондванских языках | Семантика терминологии родства в языке брахуи в общедравидийском контексте
рождение,рождение,public,предметный термин,6,4,2,Рождение концепции иконографии Шивы Натараджи в скульптуре пещерных храмов Южной Индии | Вклад Ю.В. Кнорозова в исследование протоиндийских текстов. К 100-летию со дня рождения | Памятные даты – стимул к новым поискам: 150 лет со дня рождения Павла Риттера и 120 лет со дня рождения Юрия Рериха. (доклад онлайн) | Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи»)
рушдить,рушдить,public,предметный термин,6,6,0,Салман Рушди и русская литература: тайный роман? | «Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия | Россия и русские в произведениях Салмана Рушди | Новый роман Салмана Рушди «Кишот» и его индийская составляющая
символический,символический,public,предметный термин,6,3,3,"Тригата в «Натьяшастре»: религиозное и символическое значение | Майтхуна, слияние лотоса и ваджры, или о некоторых особенностях символического языка сандхья-бхаша буддизма ваджраяны | Символический язык буддизма ваджраяны на примере «Калачакра Тантры» | О символическом языке вещей"
смысл,смысл,public,предметный термин,6,6,0,"Развертка, свертка и смысл в индийской философии | «Брахма-стути» из «Бхушунди Рамаяны»: текстология, смыслы, параллели | Рамаитская поэзия Айодхьи XIX-XX вв.: образы, смыслы и подходы к переводу на русский язык | Смысл и понимание войны в средневековой Южной Индии (поэма Джаянкондара «Парани о войне в Калинге»)"
средство,средство,public,предметный термин,6,3,3,Магические средства ведения войны на монголо-тибетском фронте | Инклюзивизм как концептуальное средство для изучения индийской культуры | Индийский мифологический сериал как средство идеологической пропаганды | Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы
стихотворный,стихотворный,public,предметный термин,6,5,1,Бенгальский стихотворный размер пояр и его разновидности | О возможности передачи санскритских стихотворных размеров в русских переводах | О методах описания санскритских классических стихотворных размеров | Традиционная классификация санскритских стихотворных размеров
толкование,толкование,hidden,методическое слово без предметной привязки,6,4,2,"Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa») | Особенности толкования Нового Завета в учении Свами Вивекананды | О толковании первой строфы «Аштанга-хридаи» средневековыми комментаторами (на примере Арунадатты, Хемадри и Инду)"
фольклорный,фольклорный,public,предметный термин,6,6,0,"Средневековая фольклорная формула и литературное клише: образ, мотив | О не-волшебной помощнице в сказках парья: вариант фольклорного мотива | ""Нисхождение в образе рыбы"": сказание фольклорной традиции пастухов-голла | Фольклорные элементы в сказании о Ратне (XVII век)"
фонд,фонд,public,предметный термин,6,6,0,Коллекция тамильских рукописей М.С. Андреева из Индийского фонда ИВР РАН | Неатрибутированный санскритский фрагмент SI 3480 из Сериндийского фонда ИВР РАН | Санскритский фрагмент «Артхавинишчая-сутры» из Сериндийского фонда ИВР РАН | Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»
элемент,элемент,public,предметный термин,6,3,3,"Кушанская этимология, поздние бактро-скифские царства и интересные элементы индо-парфянской нумизматики | Элементы шаманских практик в воинских традициях Индии | Фольклорные элементы в сказании о Ратне (XVII век) | Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема"
антология,антология,public,предметный термин,5,1,4,Тема леса в поэтических антологиях Бхартрихари и Видьякары | К выходу Антологии индо-ирландских текстов | Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92) | Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша»
ассам,ассам,public,предметный термин,5,3,2,"Российская экспедиция в Ассам 1911-1912 гг | Sattriya Ассама: о преобразовании ритуального представления бхакатов в еще один «классический танцевальный стиль» Индии | Анкхья-нат: обряд и драма средневекового Ассама, и их возрождение сегодня | Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу"
британский,британский,public,предметный термин,5,5,0,Научные связи Ф.И.Щербатского с британскими востоковедами в 1930-е гг | Британское колониальное чиновничество в литературном наследии Дж. Оруэлла | Культура повседневности британского чиновничества в Индии и Непале (по наблюдениям И. П. Минаева) | Герасим Лебедев и британская элита колониальной Калькутты: момент разрыва
вакьяпадий,вакьяпадий,public,предметный термин,5,5,0,"Атман как синоним дравьи в «Вакьяпадии» (ВП 3.2.1) | «Функциональный подход» в «Вакьяпадии» и артхакрия в философии Дхармакирти | Язык и внеязыковая действительность в «Вакьяпадии» Бхартрихари | Спхота, джати, пашьянти и пратибха в «Вакьяпадии» — к проблеме разграничения терминов"
вариант,вариант,public,предметный термин,5,5,0,Непальский вариант Гаруды | Локальные варианты Дурга Пуджи в Колкате | О не-волшебной помощнице в сказках парья: вариант фольклорного мотива | Кумаонский Голудев: локальный вариант индуизма
вастувидья,вастувидья,public,предметный термин,5,0,5,Некоторые особенности текстов по вастувидье в пуранах и их интерпретация в современной массовой культуре | Вода и водоемы в трактатах по вастувидье в пуранах | Культ Нарасинхи в трактатах по вастувидье в пуранах | Культ Нарасинхи в трактатах по вастувидье в пуранах
ведды,ведды,public,предметный термин,5,5,0,Об особенностях традиционной пищи веддов | Функции вождя в традиционном обществе веддов в прошлом и настоящем | Дифференциация веддов (взгляд извне и изнутри) | Этнографические группы веддов (история и современность)
влияние,влияние,public,предметный термин,5,4,1,Многообразие культурных традиций и влияний в средневековой Индии: от династий до социальных изменений | Учение д-ра Маханамбраты Брахмачари как квинтэссенция идей бенгальского ренессанса и его влияние на Томаса Мертона | Кришна исполняет зикр: следы влияния бхакти на суфизм братства Чиштийя | Некоторые особенности неварского буддизма и его влияние на религиозную жизнь Непала
восток,восток,public,предметный термин,5,3,2,"Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры | Непальский монастырь Копан: встреча Востока и Запада | Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока)) | Божества и образы триграмм китайской «Книги Перемен» на свитке из коллекции Рерихов в Государственном Музее Востока"
ганди,ганди,public,предметный термин,5,5,0,Женщины и сатьяграха: взгляд М. К. Ганди | Живое древо религий М. К. Ганди. | М. К. Ганди — неортодоксальный „ортодокс“ | Этико-интуитивистский подход М.К. Ганди к пониманию традиционных текстов
герой,герой,public,предметный термин,5,3,2,Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи») | Язык богини Кали. Я.В. Васильков. Эпические герои и боги (в «Махабхарате» и не только) | Ситуация ухода героя в классической тамильской поэзии | Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)
глаз,глаз,public,предметный термин,5,4,1,Угроза монгольских вторжений в Японию глазами Нитирэна | История Ситы и Рамы глазами современных индийских поэтов-мистиков и ее релевантность для современного индийского общества | История индийской философии глазами Свами Вивекананды: опыт реконструкции | Ведды глазами сингалов: в прошлом и настоящем
город,город,public,предметный термин,5,3,2,«Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия | 'Айодхья Махатмья'. Средневековый путеводитель по Айодхье и его топонимы на современной карте города | Камень-трава или плод из города Синтры: история одного индийского фитонима | Обряд адхивасана («вселение») и его роль в формировании образов храма и города
датировка,датировка,public,предметный термин,5,2,3,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Проблемы датировки «Нандикешваракашики» | Астрологические манускрипты на танкри из коллекции Кхубрама Кхушдиля (Химачал-Прадеш): особенности текстов и датировка | Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги
доктрина,доктрина,public,предметный термин,5,4,1,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Сотериологическая доктрина Шри-вайшнавизма в трактате Пиллея Локачарьи «Мумукшупади» | Критика Шанкарой доктрины спхотавады | Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
другой,другой,public,предметный термин,5,3,2,Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому | Яджня Ригведы и «другая яджня» палийского канона | Санскара «посвящение в ученики» (упанаяна): её место и значение в ряду других санскар и в древней разработке стратификации индийского общества | Другой в традиции индуизма и философии Бенгальского Возрождения: Опыт сопоставления
духовный,духовный,public,предметный термин,5,4,1,"Поэтическое представление о духовном и мирском благе в гимнах наянаров (сборник ""Деварам"") | О телесном и духовном бессмертии в индуистском тантризме | Классификация видов духовного освобождения в индуистской тантре | Семантика глагольного корня muc- и проблематика духовного освобождения в ведийских упанишадах"
женский,женский,public,предметный термин,5,5,0,Женские голоса в каввали: гендер и традиции | Женские образы древнеиндийского эпоса и позднейшего фольклора на фоне норм дхармашастры | Концепты брахманистского философского дискурса и их связь с женским принципом народного индуизма | Тамильские женские божества в средневековой литературе
живой,живой,public,предметный термин,5,4,1,Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Живое древо религий М. К. Ганди. | Почитание Индры в Непале: живая архаика | Некоторые аспекты культа живой богини Кумари в Непале
живопись,живопись,public,предметный термин,5,1,4,Синкретизм буддизма и шаманизма Тувы в живописи Шоя Чурука | Образ Йусуфа в могольской живописи: к вопросу атрибуции | Живопись и графика Гималайского региона в коллекции И.П.Минаева (МАЭ РАН): некоторые аспекты атрибуции и интерпретации | Живопись и графика из собрания И. П. Минаева (МАЭ РАН): опыт классификации
конец,конец,public,предметный термин,5,2,3,"Проблемы интерпретации традиционного текста в произведениях индийских художников конца XIX – начала XX века | Отношения между государством Корё и Тибетом в эпоху Юань (конец XIII – начало XIV вв.) | Буддийский Ренессанс в Южной Азии конец XIX – сер. XX века: история и перспективы | Зеркало, конец иллюзии. Или как удовлетворить тайно влюбленную, касающуюся кувшинами грудей отражения возлюбленного. Учение об отражении в 3-й главе «Тантра-алоки» Абхинавагупты"
корень,корень,public,предметный термин,5,4,1,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни | Семантика глагольного корня bhram и его дериватов на материале древнеиндийского эпоса и поэзии | Расширение и распространение: о некоторых особенностях употребления глагольного корня bṛh в «Ригведе» | Семантика глагольного корня muc- и проблематика духовного освобождения в ведийских упанишадах
ладакх,ладакх,public,предметный термин,5,3,2,Борьба за собственный язык в Ладакхе (на материале полевых исследований) | Борьба за собственный язык в Ладакхе | Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема | Моравская миссия в Ладакхе. «Тибетское» христианство и вклад моравских братьев в развитие языка ладакхи
мантра,мантра,public,предметный термин,5,5,0,"Мантры в ведийских шраута-ритуалах. | Сура vs. сома в жертвоприношении Саутрамани: мифы, ритуальные действия, мантры | Комментарий к коренной мантре Ваджракилаи | Способы сокрытия мантр в тантрических текстах"
могольский,могольский,public,предметный термин,5,0,5,Калмаки в литературе и искусстве могольской Индии | Образ Йусуфа в могольской живописи: к вопросу атрибуции | К вопросу о могольском изобразительном «мультилингвизме» и культурной экстравертности | Мотив dad-u dām в могольском монаршем портрете: к вопросу о генезисе и семантике
мыслитель,мыслитель,public,предметный термин,5,5,0,Найти нормативную этику в традиционных текстах: сверхзадача и её решение мыслителями Бенгальского Возрождения. | «Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения | Особенности интерпретации традиционных текстов мыслителями Бенгальского Возрождения | Традиция в интерпретации мыслителей Бенгальского Возрождения
наследие,наследие,public,предметный термин,5,5,0,Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология | Трудности в изучении философского наследия Дигнаги: опыт переводчика и историка философии | «К истолкованию мифа о Махишамардани» в научном наследии М.И. Тубянского | Британское колониальное чиновничество в литературном наследии Дж. Оруэлла
натарадж,натарадж,public,предметный термин,5,4,1,Kaṇita Caturam 108: тамильский числовой квадрат из храма Натараджи в Чидамбараме | Рождение концепции иконографии Шивы Натараджи в скульптуре пещерных храмов Южной Индии | «Унмей вилаккам» как источник по иконологии Шивы Натараджи | Значение творчества Тирумулара для формирования изобразительного канона Шивы Натараджи в Чидамбараме
научный,научный,public,предметный термин,5,3,2,Научные связи Ф.И.Щербатского с британскими востоковедами в 1930-е гг | Улан-Баторский период в научной карьере Ю.Н. Рериха. 1926-1927 годы | Дарджилингский период в научной карьере Ю.Н. Рериха | «К истолкованию мифа о Махишамардани» в научном наследии М.И. Тубянского
оберхаммер,оберхаммер,public,предметный термин,5,5,0,Уроки Герхарда Оберхаммера. По следам перевода книги «Структуры йоговской медитации» | Г. Оберхаммер и проблема исследования когнитивного потенциала религиозного опыта | Абсолютная встреча как феномен трансцендентальной герменевтики Г. Оберхаммера | Основные идеи религиозной герменевтики Г. Оберхаммера в аспекте изучения вишишта-адвайта-веданты
определение,определение,public,предметный термин,5,4,1,"Что такое тантра? К вопросу об определении тантры/тантризма в современной тантрологии | К вопросу об определении понятия apratiṣṭhita-nirvāṇa | «Мудрость незапятнанная, окруженная свитой...». О структуре определения термина «abhidharma» в «Абхидхармакошабхашье» Васубандху | Почему Дигнага называет определение восприятия Васубандху асара (лишенным сути)? Медленное чтение «Прамана-самуччая-вритти» ("
ордалия,ордалия,public,предметный термин,5,3,2,Ордалия раскаленной монетой (taptamàşa): текст и реальность | Ордалия освященной водой (kosha) | Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний | Ордалия весами: проблемы интерпретации результатов взвешивания
освобождение,освобождение,public,предметный термин,5,5,0,"Санньяса и Брахмалока: смерть, социальная или физическая, как опосредующий этап пути к освобождению в адвайта-веданте | «Наишкармья-сиддхи» (I. 52) Сурешвары как структура для реконструкции учения Шанкары об освобождении | Стадии пути к освобождению по «Найшкармья-сиддхи» (I.52) Сурешвары | Классификация видов духовного освобождения в индуистской тантре"
основа,основа,hidden,методическое слово без предметной привязки,5,4,1,Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa») | Об особенностях индийской философии на основе южноазиатской схемы рациональности | Актуализация информативной основы средневекового текста Центральной Азии в современном мире (на примере «Тарих-и Рашиди» Мирзы Хайдара Дуглата») | Посвящение в знание мудрости в Гухьясамаджатантре (на основе Abhishekanirukti)
открытие,открытие,public,предметный термин,5,3,2,К истории поступления индийских памятников в Эрмитаж: новые открытия | Прагматика перечней в эпиграфическом тексте (к открытию надписей брахми III–II вв. до н.э. в Центральной Индии) | «Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения | Открытие буддийской надписи брахми (II в. до н. э.) в Центральной Индии: к истокам традиции именования ранних буддийских школ
персонаж,персонаж,public,предметный термин,5,2,3,Основные сюжеты и персонажи индийского театра теней | Наги как персонажи непальских легенд | Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи») | Текст – персонаж в древней махакавье
песня,песня,public,предметный термин,5,2,3,"Народные песни о Хардоле, принце Орччхи | Поэма «Десять песен»: перевод и чтение на тамильском языке | Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92) | Дидактика и символика в тибетской литературе (на примере «Песни о роге яка» из собрания «сто тысяч песен Миларепы»)"
пещерный,пещерный,public,предметный термин,5,2,3,Рождение концепции иконографии Шивы Натараджи в скульптуре пещерных храмов Южной Индии | Эволюция архитектуры джайнских пещерных храмов Махараштры в контексте скального зодчества Индии | Джайнские пещерные храмы Махараштры в контексте развития скальной архитектуры Индии | Эволюция струнного музыкального инструмента вины на материале скульптуры пещерных храмов южной Индии (I–X вв.)
письменность,письменность,public,предметный термин,5,4,1,Ю.Н. Рерих о происхождении монгольской письменности | Надписи на медных предметах протоиндийской письменностью | Удвоение знаков в протоиндийской письменности | Каталоги знаков хараппской письменности: материалы к сравнению
поздний,поздний,public,предметный термин,5,3,2,"Кушанская этимология, поздние бактро-скифские царства и интересные элементы индо-парфянской нумизматики | Поздний Р.Тагор и «Бхагавадгита»: переосмысляя концепцию о долге | Женские образы древнеиндийского эпоса и позднейшего фольклора на фоне норм дхармашастры | О поздней версии Калачакра-тантры"
последний,последний,public,предметный термин,5,3,2,Несколько этимологий арготических слов среднеазиатских цыган на фоне дискуссий последнего полувека об истории цыган | «Бахиранга-парибхаша»: последнее слово за Нагоджибхаттой или Бронкхорстом? | «Рамаяна» в драме Бхавабхути «Последние деяния Рамы» | К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
предварительный,предварительный,public,предметный термин,5,3,2,"Предварительные замечания к проблеме речевого сбоя в древнеиндийской теории драмы | К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле | Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение | Новые открытия на Гонур-тепе. Предварительное сообщение"
протоиндийский,протоиндийский,public,предметный термин,5,5,0,"Надписи на медных предметах протоиндийской письменностью | В поисках современного подхода к прозе Премчанда.Коровина Евгения Владимировна, Ренковская Евгения Алексеевна (Москва). Экспедиция к памятникам протоиндийской цивилизации на территории Индии | Вклад Ю.В. Кнорозова в исследование протоиндийских текстов. К 100-летию со дня рождения | Удвоение знаков в протоиндийской письменности"
путешествие,путешествие,public,предметный термин,5,2,3,По следам Петербуржца в Индии: путешествие князя Салтыкова | «Не одне грандиозныя прелести Гималаев»: итоги путешествия И. П. Минаева в Кумаон (1875) | Антропоморфная образность «игры знания»: телесная метафора и метафора путешествия | Путешествие И. П. Минаева в Непал: обстоятельства и результаты
размер,размер,public,предметный термин,5,5,0,Бенгальский стихотворный размер пояр и его разновидности | О возможности передачи санскритских стихотворных размеров в русских переводах | О методах описания санскритских классических стихотворных размеров | Традиционная классификация санскритских стихотворных размеров
раманудж,раманудж,public,предметный термин,5,5,0,"К анализу устройства «Шрибхашья» Рамануджи: содержание, композиция, стиль | К (посмертному) изданию полного перевода (В. С. Семенцова) «Гитабхашьи» Рамануджи на русском языке | «Гадья» Рамануджи: венец или крест исследователя философии вишишта-адвайты? | Проблемы перевода «Шрибхашьи» Рамануджи"
религиозно-философский,религиозно-философский,public,предметный термин,5,5,0,Вивекананда и его учителя: преемственность религиозно-философских взглядов | Г. Оберхаммер и его принципы изучения религиозно-философских текстов школы вишишта-адвайта-веданты | Образ индуизма в религиозно-философской мысли Бенгальского Ренессанса | Некоторые аспекты полемического дискурса в индийских религиозно-философских традициях
